"仓库(填写编号，例如001,002)",物流方式（填写名称，比如Fedex Ground）,国家简码,邮编起,邮编止,属性(填写数字：0普通 1偏远 2超级偏远),备注
004,MBB DEUPS,,ES_3554,,2,,
004,MBB DEUPS,,ES_3555,,2,,
004,MBB DEUPS,,ES_35560,,2,,
004,MBB DEUPS,,ES_35561,,2,,
004,MBB DEUPS,,ES_35563,,2,,
004,MBB DEUPS,,ES_35564,,2,,
004,MBB DEUPS,,ES_35565,,2,,
004,MBB DEUPS,,ES_35566,,2,,
004,MBB DEUPS,,ES_35567,,2,,
004,MBB DEUPS,,ES_35568,,2,,
004,MBB DEUPS,,ES_35569,,2,,
004,MBB DEUPS,,ES_3557,,2,,
004,MBB DEUPS,,ES_3558,,2,,
004,MBB DEUPS,,ES_3559,,2,,
004,MBB DEUPS,,ES_3560,,2,,
004,MBB DEUPS,,ES_35610,,2,,
004,MBB DEUPS,,ES_35612,,2,,
004,MBB DEUPS,,ES_35613,,2,,
004,MBB DEUPS,,ES_35614,,2,,
004,MBB DEUPS,,ES_35615,,2,,
004,MBB DEUPS,,ES_35616,,2,,
004,MBB DEUPS,,ES_35617,,2,,
004,MBB DEUPS,,ES_35618,,2,,
004,MBB DEUPS,,ES_35619,,2,,
004,MBB DEUPS,,ES_3562,,2,,
004,MBB DEUPS,,ES_35630,,2,,
004,MBB DEUPS,,ES_35631,,2,,
004,MBB DEUPS,,ES_35632,,2,,
004,MBB DEUPS,,ES_35633,,2,,
004,MBB DEUPS,,ES_35634,,2,,
004,MBB DEUPS,,ES_35635,,2,,
004,MBB DEUPS,,ES_35636,,2,,
004,MBB DEUPS,,ES_35637,,2,,
004,MBB DEUPS,,ES_35639,,2,,
004,MBB DEUPS,,ES_3564,,2,,
004,MBB DEUPS,,ES_3565,,2,,
004,MBB DEUPS,,ES_3566,,2,,
004,MBB DEUPS,,ES_3567,,2,,
004,MBB DEUPS,,ES_3568,,2,,
004,MBB DEUPS,,ES_3569,,2,,
004,MBB DEUPS,,ES_357,,2,,
004,MBB DEUPS,,ES_358,,2,,
004,MBB DEUPS,,ES_359,,2,,
004,MBB DEUPS,,ES_38001,,2,,
004,MBB DEUPS,,ES_38002,,2,,
004,MBB DEUPS,,ES_38003,,2,,
004,MBB DEUPS,,ES_38004,,2,,
004,MBB DEUPS,,ES_38005,,2,,
004,MBB DEUPS,,ES_38006,,2,,
004,MBB DEUPS,,ES_38007,,2,,
004,MBB DEUPS,,ES_38008,,2,,
004,MBB DEUPS,,ES_38009,,2,,
004,MBB DEUPS,,ES_3801,,2,,
004,MBB DEUPS,,ES_3802,,2,,
004,MBB DEUPS,,ES_3803,,2,,
004,MBB DEUPS,,ES_3804,,2,,
004,MBB DEUPS,,ES_3805,,2,,
004,MBB DEUPS,,ES_3806,,2,,
004,MBB DEUPS,,ES_38071,,2,,
004,MBB DEUPS,,ES_38072,,2,,
004,MBB DEUPS,,ES_38073,,2,,
004,MBB DEUPS,,ES_38074,,2,,
004,MBB DEUPS,,ES_38075,,2,,
004,MBB DEUPS,,ES_38076,,2,,
004,MBB DEUPS,,ES_38077,,2,,
004,MBB DEUPS,,ES_38078,,2,,
004,MBB DEUPS,,ES_38079,,2,,
004,MBB DEUPS,,ES_3808,,2,,
004,MBB DEUPS,,ES_3809,,2,,
004,MBB DEUPS,,ES_3810,,2,,
004,MBB DEUPS,,ES_3811,,2,,
004,MBB DEUPS,,ES_38120,,2,,
004,MBB DEUPS,,ES_38121,,2,,
004,MBB DEUPS,,ES_38122,,2,,
004,MBB DEUPS,,ES_38123,,2,,
004,MBB DEUPS,,ES_38124,,2,,
004,MBB DEUPS,,ES_38125,,2,,
004,MBB DEUPS,,ES_38126,,2,,
004,MBB DEUPS,,ES_38127,,2,,
004,MBB DEUPS,,ES_38128,,2,,
004,MBB DEUPS,,ES_38131,,2,,
004,MBB DEUPS,,ES_38132,,2,,
004,MBB DEUPS,,ES_38133,,2,,
004,MBB DEUPS,,ES_38134,,2,,
004,MBB DEUPS,,ES_38135,,2,,
004,MBB DEUPS,,ES_38136,,2,,
004,MBB DEUPS,,ES_38137,,2,,
004,MBB DEUPS,,ES_38138,,2,,
004,MBB DEUPS,,ES_3814,,2,,
004,MBB DEUPS,,ES_38151,,2,,
004,MBB DEUPS,,ES_38152,,2,,
004,MBB DEUPS,,ES_38153,,2,,
004,MBB DEUPS,,ES_38154,,2,,
004,MBB DEUPS,,ES_38155,,2,,
004,MBB DEUPS,,ES_38156,,2,,
004,MBB DEUPS,,ES_38157,,2,,
004,MBB DEUPS,,ES_38158,,2,,
004,MBB DEUPS,,ES_38159,,2,,
004,MBB DEUPS,,ES_38161,,2,,
004,MBB DEUPS,,ES_38162,,2,,
004,MBB DEUPS,,ES_38163,,2,,
004,MBB DEUPS,,ES_38164,,2,,
004,MBB DEUPS,,ES_38165,,2,,
004,MBB DEUPS,,ES_38166,,2,,
004,MBB DEUPS,,ES_38167,,2,,
004,MBB DEUPS,,ES_38168,,2,,
004,MBB DEUPS,,ES_38169,,2,,
004,MBB DEUPS,,ES_3817,,2,,
004,MBB DEUPS,,ES_3818,,2,,
004,MBB DEUPS,,ES_3819,,2,,
004,MBB DEUPS,,ES_3820,,2,,
004,MBB DEUPS,,ES_3821,,2,,
004,MBB DEUPS,,ES_3822,,2,,
004,MBB DEUPS,,ES_3823,,2,,
004,MBB DEUPS,,ES_3824,,2,,
004,MBB DEUPS,,ES_3825,,2,,
004,MBB DEUPS,,ES_3826,,2,,
004,MBB DEUPS,,ES_3827,,2,,
004,MBB DEUPS,,ES_38280,,2,,
004,MBB DEUPS,,ES_38281,,2,,
004,MBB DEUPS,,ES_38282,,2,,
004,MBB DEUPS,,ES_38283,,2,,
004,MBB DEUPS,,ES_38284,,2,,
004,MBB DEUPS,,ES_38285,,2,,
004,MBB DEUPS,,ES_38286,,2,,
004,MBB DEUPS,,ES_38287,,2,,
004,MBB DEUPS,,ES_38288,,2,,
004,MBB DEUPS,,ES_38290,,2,,
004,MBB DEUPS,,ES_38291,,2,,
004,MBB DEUPS,,ES_38292,,2,,
004,MBB DEUPS,,ES_38293,,2,,
004,MBB DEUPS,,ES_38295,,2,,
004,MBB DEUPS,,ES_38296,,2,,
004,MBB DEUPS,,ES_38297,,2,,
004,MBB DEUPS,,ES_38298,,2,,
004,MBB DEUPS,,ES_38299,,2,,
004,MBB DEUPS,,ES_3830,,2,,
004,MBB DEUPS,,ES_38311,,2,,
004,MBB DEUPS,,ES_38312,,2,,
004,MBB DEUPS,,ES_38314,,2,,
004,MBB DEUPS,,ES_38315,,2,,
004,MBB DEUPS,,ES_38316,,2,,
004,MBB DEUPS,,ES_38317,,2,,
004,MBB DEUPS,,ES_38318,,2,,
004,MBB DEUPS,,ES_38319,,2,,
004,MBB DEUPS,,ES_38320,,2,,
004,MBB DEUPS,,ES_38321,,2,,
004,MBB DEUPS,,ES_38322,,2,,
