"仓库(填写编号，例如001,002)",物流方式（填写名称，比如Fedex Ground）,国家简码,邮编起,邮编止,属性(填写数字：0普通 1偏远 2超级偏远),备注
004,MBB DEUPS,FR,66260,66260,3,
004,MBB DEUPS,FR,66290,66290,3,
004,MBB DEUPS,FR,66300,66300,3,
004,MBB DEUPS,FR,66310,66310,3,
004,MBB DEUPS,FR,66320,66320,3,
004,MBB DEUPS,FR,66340,66340,3,
004,MBB DEUPS,FR,66360,66360,3,
004,MBB DEUPS,FR,66400,66400,3,
004,MBB DEUPS,FR,66460,66460,3,
004,MBB DEUPS,FR,66480,66480,3,
004,MBB DEUPS,FR,66490,66490,3,
004,MBB DEUPS,FR,66500,66500,3,
004,MBB DEUPS,FR,66560,66560,3,
004,MBB DEUPS,FR,66600,66600,3,
004,MBB DEUPS,FR,66620,66620,3,
004,MBB DEUPS,FR,66650,66650,3,
004,MBB DEUPS,FR,66660,66660,3,
004,MBB DEUPS,FR,66690,66690,3,
004,MBB DEUPS,FR,66700,66700,3,
004,MBB DEUPS,FR,66720,66720,3,
004,MBB DEUPS,FR,66730,66730,3,
004,MBB DEUPS,FR,66740,66740,3,
004,MBB DEUPS,FR,66760,66760,3,
004,MBB DEUPS,FR,66800,66800,3,
004,MBB DEUPS,FR,66820,66820,3,
004,MBB DEUPS,FR,73120,73120,3,
004,MBB DEUPS,FR,73140,73140,3,
004,MBB DEUPS,FR,73150,73150,3,
004,MBB DEUPS,FR,73170,73170,3,
004,MBB DEUPS,FR,73270,73270,3,
004,MBB DEUPS,FR,73320,73320,3,
004,MBB DEUPS,FR,73340,73340,3,
004,MBB DEUPS,FR,73350,73350,3,
004,MBB DEUPS,FR,73440,73440,3,
004,MBB DEUPS,FR,73450,73450,3,
004,MBB DEUPS,FR,73480,73480,3,
004,MBB DEUPS,FR,73500,73500,3,
004,MBB DEUPS,FR,73530,73530,3,
004,MBB DEUPS,FR,73550,73550,3,
004,MBB DEUPS,FR,73590,73590,3,
004,MBB DEUPS,FR,73610,73610,3,
004,MBB DEUPS,FR,73620,73620,3,
004,MBB DEUPS,FR,73630,73630,3,
004,MBB DEUPS,FR,73640,73640,3,
004,MBB DEUPS,FR,73700,73700,3,
004,MBB DEUPS,FR,73710,73710,3,
004,MBB DEUPS,FR,73730,73730,3,
004,MBB DEUPS,FR,73870,73870,3,
004,MBB DEUPS,FR,74110,74110,3,
004,MBB DEUPS,FR,74120,74120,3,
004,MBB DEUPS,FR,74170,74170,3,
004,MBB DEUPS,FR,74190,74190,3,
004,MBB DEUPS,FR,74220,74220,3,
004,MBB DEUPS,FR,74260,74260,3,
004,MBB DEUPS,FR,74310,74310,3,
004,MBB DEUPS,FR,74340,74340,3,
004,MBB DEUPS,FR,74360,74360,3,
004,MBB DEUPS,FR,74390,74390,3,
004,MBB DEUPS,FR,74400,74400,3,
004,MBB DEUPS,FR,74420,74420,3,
004,MBB DEUPS,FR,74430,74430,3,
004,MBB DEUPS,FR,74440,74440,3,
004,MBB DEUPS,FR,74450,74450,3,
004,MBB DEUPS,FR,74470,74470,3,
004,MBB DEUPS,FR,74480,74480,3,
004,MBB DEUPS,FR,74490,74490,3,
004,MBB DEUPS,FR,74660,74660,3,
004,MBB DEUPS,FR,74740,74740,3,
004,MBB DEUPS,FR,74920,74920,3,
004,MBB DEUPS,FR,85330,85330,3,
004,MBB DEUPS,FR,85350,85350,3,
004,MBB DEUPS,FR,85630,85630,3,
004,MBB DEUPS,FR,85680,85680,3,
004,MBB DEUPS,FR,85740,85740,3,
004,MBB DEUPS,FR,88340,88340,3,
004,MBB DEUPS,GR,00000,10159,3,
004,MBB DEUPS,GR,10161,10430,3,
004,MBB DEUPS,GR,17779,18119,3,
004,MBB DEUPS,GR,18864,19000,3,
004,MBB DEUPS,GR,19601,53999,3,
004,MBB DEUPS,GR,57501,99999,3,
004,MBB DEUPS,HU,2601,2650,3,
004,MBB DEUPS,HU,2652,2659,3,
004,MBB DEUPS,HU,2661,2699,3,
004,MBB DEUPS,HU,3101,3169,3,
004,MBB DEUPS,HU,3171,3199,3,
004,MBB DEUPS,HU,3601,3699,3,
004,MBB DEUPS,HU,3700,3799,3,
004,MBB DEUPS,HU,3800,3899,3,
004,MBB DEUPS,HU,3901,3909,3,
004,MBB DEUPS,HU,3911,3949,3,
004,MBB DEUPS,HU,3951,3979,3,
004,MBB DEUPS,HU,3981,3999,3,
004,MBB DEUPS,HU,4101,4137,3,
004,MBB DEUPS,HU,4139,4149,3,
004,MBB DEUPS,HU,4151,4180,3,
004,MBB DEUPS,HU,4182,4199,3,
004,MBB DEUPS,HU,4201,4219,3,
004,MBB DEUPS,HU,4221,4243,3,
004,MBB DEUPS,HU,4245,4299,3,
004,MBB DEUPS,HU,4301,4319,3,
004,MBB DEUPS,HU,4321,4399,3,
004,MBB DEUPS,HU,4500,4533,3,
004,MBB DEUPS,HU,4535,4599,3,
004,MBB DEUPS,HU,4600,4699,3,
004,MBB DEUPS,HU,4701,4799,3,
004,MBB DEUPS,HU,4801,4899,3,
004,MBB DEUPS,HU,4901,4999,3,
004,MBB DEUPS,HU,5501,5519,3,
004,MBB DEUPS,HU,5521,5539,3,
004,MBB DEUPS,HU,5541,5599,3,
004,MBB DEUPS,HU,5601,5629,3,
004,MBB DEUPS,HU,5631,5649,3,
004,MBB DEUPS,HU,5651,5699,3,
004,MBB DEUPS,HU,5701,5799,3,
004,MBB DEUPS,HU,5800,5899,3,
004,MBB DEUPS,HU,6400,6499,3,
004,MBB DEUPS,HU,6500,6599,3,
004,MBB DEUPS,HU,6900,6999,3,
004,MBB DEUPS,HU,7501,7599,3,
004,MBB DEUPS,HU,7800,7899,3,
004,MBB DEUPS,HU,7900,7999,3,
004,MBB DEUPS,HU,8801,8899,3,
004,MBB DEUPS,HU,8901,8998,3,
004,MBB DEUPS,HU,9901,9969,3,
004,MBB DEUPS,HU,9971,9999,3,
004,MBB DEUPS,IT,00013,00013,3,
004,MBB DEUPS,IT,04027,04027,3,
004,MBB DEUPS,IT,06010,06010,3,
004,MBB DEUPS,IT,06020,06020,3,
004,MBB DEUPS,IT,06026,06028,3,
004,MBB DEUPS,IT,06040,06041,3,
004,MBB DEUPS,IT,06043,06043,3,
004,MBB DEUPS,IT,06046,06047,3,
004,MBB DEUPS,IT,06060,06060,3,
004,MBB DEUPS,IT,11010,11010,3,
004,MBB DEUPS,IT,11012,11012,3,
004,MBB DEUPS,IT,11025,11025,3,
004,MBB DEUPS,IT,12010,12010,3,
004,MBB DEUPS,IT,12019,12020,3,
004,MBB DEUPS,IT,12027,12027,3,
004,MBB DEUPS,IT,12034,12034,3,
004,MBB DEUPS,IT,12070,12071,3,
004,MBB DEUPS,IT,12073,12074,3,
004,MBB DEUPS,IT,12080,12082,3,
004,MBB DEUPS,IT,13020,13028,3,
004,MBB DEUPS,IT,15010,15010,3,
004,MBB DEUPS,IT,15012,15018,3,
004,MBB DEUPS,IT,15050,15050,3,
004,MBB DEUPS,IT,15060,15060,3,
004,MBB DEUPS,IT,15064,15066,3,
004,MBB DEUPS,IT,15070,15075,3,
004,MBB DEUPS,IT,16010,16010,3,
004,MBB DEUPS,IT,16012,16023,3,
004,MBB DEUPS,IT,16025,16029,3,
004,MBB DEUPS,IT,16041,16041,3,
004,MBB DEUPS,IT,16045,16045,3,
004,MBB DEUPS,IT,16048,16049,3,
004,MBB DEUPS,IT,17010,17010,3,
004,MBB DEUPS,IT,17013,17014,3,
004,MBB DEUPS,IT,17016,17017,3,
004,MBB DEUPS,IT,17020,17022,3,
004,MBB DEUPS,IT,17026,17030,3,
004,MBB DEUPS,IT,17032,17034,3,
004,MBB DEUPS,IT,17036,17037,3,
004,MBB DEUPS,IT,17039,17039,3,
004,MBB DEUPS,IT,17041,17046,3,
004,MBB DEUPS,IT,17048,17051,3,
004,MBB DEUPS,IT,17053,17055,3,
004,MBB DEUPS,IT,17058,17058,3,
004,MBB DEUPS,IT,18020,18037,3,
004,MBB DEUPS,IT,19010,19020,3,
004,MBB DEUPS,IT,19022,19033,3,
004,MBB DEUPS,IT,19035,19036,3,
004,MBB DEUPS,IT,22018,22018,3,
004,MBB DEUPS,IT,22021,22025,3,
004,MBB DEUPS,IT,22027,22027,3,
